,Date,CPI
0,31/01/2018,247.867
1,28/02/2018,248.991
2,31/03/2018,249.554
3,30/04/2018,250.546
4,31/05/2018,251.588
5,30/06/2018,251.989
6,31/07/2018,252.006
7,31/08/2018,252.146
8,30/09/2018,252.439
9,31/10/2018,252.885
10,30/11/2018,252.038
11,31/12/2018,251.233
12,31/01/2019,251.712
13,28/02/2019,252.776
14,31/03/2019,254.202
15,30/04/2019,255.548
16,31/05/2019,256.092
17,30/06/2019,256.143
18,31/07/2019,256.571
19,31/08/2019,256.558
20,30/09/2019,256.759
21,31/10/2019,257.346
22,30/11/2019,257.208
23,31/12/2019,256.974
24,31/01/2020,257.971
25,29/02/2020,258.678
26,31/03/2020,258.115
27,30/04/2020,256.389
28,31/05/2020,256.394
29,30/06/2020,257.797
30,31/07/2020,259.101
31,31/08/2020,259.918
32,30/09/2020,260.28
33,31/10/2020,260.388
34,30/11/2020,260.229
35,31/12/2020,260.474
36,31/01/2021,261.582
37,28/02/2021,263.014
38,31/03/2021,264.877
39,30/04/2021,267.054
40,31/05/2021,269.195
41,30/06/2021,271.696
42,31/07/2021,273.003
43,31/08/2021,273.567
44,30/09/2021,274.31
45,31/10/2021,276.589
46,30/11/2021,277.948
47,31/12/2021,278.802
48,31/01/2022,281.148
49,28/02/2022,283.716
50,31/03/2022,287.504
51,30/04/2022,289.109
52,31/05/2022,292.296
53,30/06/2022,296.311
54,31/07/2022,296.276
55,31/08/2022,296.171
56,30/09/2022,296.808
57,31/10/2022,298.012
58,30/11/2022,297.711
59,31/12/2022,290.317
